Comment,Designator,Footprint,LCSC,Quantity
0,"R10,R11,R15,R16,R18,R20,R21,R22,R23,R24,R4,R8",R_0603_1608Metric,C21189,12
Conn_01x02_Pin,"J2,J3",JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C2936227,2
SW_DIP_x08,SW1,SW-SMD_16P-L20.3-W6.0-P2.54-LS9.3-BL,C5145016,1
~,J1,RJ45-TH_HC-WK88-H13-1X8-55QS_1,C7501829,1
